ID,Customer ID,Brand,Model,Year,Serial Number,Photo Path,Observations
84f9754f-eafe-476e-bdb8-15557496550a,847cb622-8479-491f-9976-3db40738d5a6,La Marzocco,Linea PB,2014,L042118,84f9754f-eafe-476e-bdb8-15557496550a_machine.png,
904c2ded-7a12-43c7-8021-3b1db127235c,847cb622-8479-491f-9976-3db40738d5a6,La Marzocco,Linea EE2,2014,L042118,media/customers/847cb622-8479-491f-9976-3db40738d5a6/machines/904c2ded-7a12-43c7-8021-3b1db127235c/WhatsApp Image 2025-07-29 at 17.49.18_43ce6569.jpg,
29dc9d8a-f351-4670-ba80-553decbf9e1e,8af90312-9067-4e19-9336-c0f87c0dcbc8,Cimbali,TR,2020,,media/customers/8af90312-9067-4e19-9336-c0f87c0dcbc8/machines/29dc9d8a-f351-4670-ba80-553decbf9e1e/IMG_5367.jpeg,
67e69c42-3bd3-4ae0-846f-92728ea822a8,74350623-7051-482e-a1d4-5d2176f83998,Schaerer,Coffee Art Plus,2023,,media/customers/74350623-7051-482e-a1d4-5d2176f83998/machines/67e69c42-3bd3-4ae0-846f-92728ea822a8/image.jpg,Number 2 (right machine)
6788b07b-5b7c-4493-8744-e9945761eba0,089b3fbf-641e-4581-bb6b-b527182c373d,Schaerer,Coffee Art Plus,2023,,media/customers/089b3fbf-641e-4581-bb6b-b527182c373d/machines/6788b07b-5b7c-4493-8744-e9945761eba0/IMG_5419.jpeg,Right one
